KORT;KORT EID AV KUNDE;PRIS BOOKING;MEDLEM;KUNDEID;RESSURS;BESØKSDATO;STARTTID;BESTILLINGSDATO;BESTILLINGSTID;ANTALLRESURSER
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6548163;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 20:59;1
<br/>;;NOK 350;No;6841072;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 21:35;2
<br/>;Gyldig for angitt antall dager NOK 2 800;NOK 0;yes;5499970;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 22:39;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400    Gyldig for angitt antall dager NOK 400;NOK 0;yes;6191096;Dropin  - Sukkerbiten;01.05.2022;07:00-08:30;01.05.2022;01.05.2022 06:58;1
<br/>;;NOK 200;yes;6686876;Dropin  - Bademaschin/Snipa;01.05.2022;07:00-08:30;28.04.2022;28.04.2022 18:15;2
<br/>;;NOK 100;yes;6492734;Dropin  - Bademaschin/Snipa;01.05.2022;07:00-08:30;29.04.2022;29.04.2022 17:03;1
<br/>;;NOK 350;No;6837698;Dropin  - Bademaschin/Snipa;01.05.2022;07:00-08:30;29.04.2022;29.04.2022 20:54;2
<br/>;;NOK 350;No;6838829;Dropin  - Bademaschin/Snipa;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 08:44;2
<br/>;;NOK 200;yes;6148727;Dropin  - Bademaschin/Snipa;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 09:28;2
<br/>;;NOK 350;No;6811478;Dropin  - Bademaschin/Snipa;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 13:08;2
<br/>;;NOK 350;No;6574421;Dropin  - Bademaschin/Snipa;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 18:08;2
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;5946027;Dropin  - Bademaschin/Snipa;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 19:22;1
<br/>;;NOK 350;No;6840771;Dropin  - Bademaschin/Snipa;01.05.2022;07:00-08:30;30.04.2022;30.04.2022 19:35;2
<br/>;;NOK 200;yes;6662870;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;16.04.2022;16.04.2022 19:29;2
<br/>;;NOK 350;No;6817773;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;23.04.2022;23.04.2022 19:19;2
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400    Gyldig for angitt antall dager NOK 400    Antall ganger NOK 300;NOK 0;No;5707142;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;26.04.2022;26.04.2022 10:28;1
<br/>;;NOK 350;No;6827809;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;26.04.2022;26.04.2022 20:05;2
<br/>;;NOK 300;yes;6453438;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;27.04.2022;27.04.2022 13:00;3
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6461799;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;27.04.2022;27.04.2022 13:08;1
<br/>;;NOK 200;yes;6055649;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;27.04.2022;27.04.2022 13:25;2
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400    Gyldig for angitt antall dager NOK 400;NOK 0;No;6072674;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;27.04.2022;27.04.2022 15:08;1
<br/>;;NOK 350;No;6831229;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;27.04.2022;27.04.2022 21:29;2
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 800;NOK 0;No;5501415;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;27.04.2022;27.04.2022 23:17;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6515479;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;28.04.2022;28.04.2022 08:47;1
Gavekort<br/>;;NOK 0;yes;6792250;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;28.04.2022;28.04.2022 19:18;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;yes;5854687;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;28.04.2022;28.04.2022 21:14;1
<br/>;;NOK 375;yes;6721196;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 00:12;4
<br/>;;NOK 300;yes;6590650;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 01:50;3
<br/>;;NOK 300;yes;5501642;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 06:52;3
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400    Gyldig for angitt antall dager NOK 400;NOK 0;No;6089447;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 08:52;1
<br/>;;NOK 350;No;6835504;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 09:36;2
<br/>;;NOK 175;No;6285888;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 10:11;1
<br/>;;NOK 175;No;6836314;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 14:47;1
<br/>;Gyldig for angitt antall dager NOK 1 000    Antall ganger NOK 600;NOK 100;yes;5961672;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 15:28;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;yes;5795150;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 17:35;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;5976291;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 19:23;1
<br/>;;NOK 350;No;6237584;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 20:18;2
Gavekort<br/>;;NOK 0;yes;6475963;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 20:36;1
<br/>;;NOK 100;yes;6516310;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 22:11;1
<br/>;;NOK 175;No;6837980;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 22:14;1
<br/>;;NOK 175;No;6838116;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 23:11;1
<br/>;;NOK 100;yes;6516310;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 23:45;1
<br/>;;NOK 175;No;6838198;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 23:53;1
<br/>;Antall ganger NOK 300;NOK 175;yes;5501476;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 23:58;1
<br/>;;NOK 175;yes;6538102;Dropin  - Sukkerbiten;01.05.2022;08:30-10:00;30.04.2022;30.04.2022 07:31;1
<br/>;;NOK 100;yes;6485559;Dropin  - Bademaschin/Snipa;01.05.2022;08:30-10:00;28.04.2022;28.04.2022 13:46;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6776398;Dropin  - Bademaschin/Snipa;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 16:42;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6832653;Dropin  - Bademaschin/Snipa;01.05.2022;08:30-10:00;29.04.2022;29.04.2022 16:43;1
Gavekort<br/>;;NOK 0;yes;6354631;Dropin  - Bademaschin/Snipa;01.05.2022;08:30-10:00;30.04.2022;30.04.2022 09:55;2
<br/>;;NOK 275;yes;6839067;Dropin  - Bademaschin/Snipa;01.05.2022;08:30-10:00;30.04.2022;30.04.2022 10:23;3
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6451192;Dropin  - Bademaschin/Snipa;01.05.2022;08:30-10:00;30.04.2022;30.04.2022 12:45;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6827280;Dropin  - Bademaschin/Snipa;01.05.2022;08:30-10:00;30.04.2022;30.04.2022 13:08;1
<br/>;;NOK 100;yes;5766268;Dropin  - Bademaschin/Snipa;01.05.2022;08:30-10:00;30.04.2022;30.04.2022 13:49;1
<br/>;;NOK 175;No;6839816;Dropin  - Bademaschin/Snipa;01.05.2022;08:30-10:00;30.04.2022;30.04.2022 14:19;1
<br/>;;NOK 350;No;6840073;Dropin  - Bademaschin/Snipa;01.05.2022;08:30-10:00;30.04.2022;30.04.2022 15:34;2
<br/>;;NOK 200;yes;6840511;Dropin  - Bademaschin/Snipa;01.05.2022;08:30-10:00;30.04.2022;30.04.2022 17:57;2
<br/>;;NOK 350;No;6840517;Dropin  - Bademaschin/Snipa;01.05.2022;08:30-10:00;30.04.2022;30.04.2022 17:57;2
<br/>;Gyldig for angitt antall dager NOK 400    Gyldig for angitt antall dager NOK 400;NOK 0;No;6263550;Dropin - Kroloftet (Svartdalen);01.05.2022;08:30-10:00;20.04.2022;20.04.2022 19:30;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 100;yes;6711203;Dropin - Kroloftet (Svartdalen);01.05.2022;08:30-10:00;20.04.2022;20.04.2022 19:31;1
<br/>;Antall ganger NOK 300;NOK 175;yes;6290956;Dropin - Kroloftet (Svartdalen);01.05.2022;08:30-10:00;20.04.2022;20.04.2022 19:34;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 100;yes;6711203;Dropin - Kroloftet (Svartdalen);01.05.2022;08:30-10:00;20.04.2022;20.04.2022 19:45;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 200;yes;6711203;Dropin - Kroloftet (Svartdalen);01.05.2022;08:30-10:00;20.04.2022;20.04.2022 19:48;2
<br/>;Gyldig for angitt antall dager NOK 400;NOK 100;yes;6711203;Dropin - Kroloftet (Svartdalen);01.05.2022;08:30-10:00;22.04.2022;22.04.2022 20:35;1
<br/>;;NOK 175;yes;6118667;Dropin - Kroloftet (Svartdalen);01.05.2022;08:30-10:00;30.04.2022;30.04.2022 10:22;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6585055;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;18.04.2022;18.04.2022 15:05;1
<br/>;Gyldig for angitt antall dager NOK 400    Gyldig for angitt antall dager NOK 400;NOK 0;yes;5501337;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;20.04.2022;20.04.2022 14:30;1
<br/>;;NOK 100;yes;6079289;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;20.04.2022;20.04.2022 22:23;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400    Gyldig for angitt antall dager NOK 2 800    Antall ganger NOK 300;NOK 0;No;6148745;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;21.04.2022;21.04.2022 12:57;1
<br/>;;NOK 100;yes;6496549;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;21.04.2022;21.04.2022 17:28;1
<br/>;Antall ganger NOK 1 500;NOK 200;yes;6390140;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;22.04.2022;22.04.2022 05:36;2
<br/>;;NOK 100;yes;6659359;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;23.04.2022;23.04.2022 08:47;1
<br/>;;NOK 100;yes;6659359;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;23.04.2022;23.04.2022 08:47;1
<br/>;;NOK 525;No;6820198;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;24.04.2022;24.04.2022 16:02;3
<br/>;;NOK 100;yes;6820668;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;24.04.2022;24.04.2022 19:05;1
<br/>;;NOK 175;No;6821977;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;25.04.2022;25.04.2022 06:59;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6611401;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;25.04.2022;25.04.2022 12:37;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6603228;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;25.04.2022;25.04.2022 12:39;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 1 000    Gyldig for angitt antall dager NOK 400;NOK 0;yes;5937469;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;25.04.2022;25.04.2022 18:31;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;5530349;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;26.04.2022;26.04.2022 07:37;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400;NOK 0;No;6082460;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;26.04.2022;26.04.2022 07:45;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;yes;5753252;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;26.04.2022;26.04.2022 08:24;1
<br/>;;NOK 100;yes;6531245;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;26.04.2022;26.04.2022 08:24;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6270211;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;26.04.2022;26.04.2022 20:43;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6625168;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;29.04.2022;29.04.2022 13:57;1
<br/>;Rabatten er gyldig for et gitt antall dager NOK 200    Gyldig for angitt antall dager NOK 400;NOK 100;yes;6716188;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;29.04.2022;29.04.2022 16:48;1
<br/>;;NOK 300;yes;6363880;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;29.04.2022;29.04.2022 17:31;3
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6765149;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;29.04.2022;29.04.2022 17:38;1
<br/>;;NOK 350;No;6837020;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;29.04.2022;29.04.2022 17:52;2
<br/>;Gyldig for angitt antall dager NOK 1 000    Gyldig for angitt antall dager NOK 400;NOK 0;yes;5902916;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;29.04.2022;29.04.2022 18:35;1
<br/>;;NOK 175;No;6284653;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;29.04.2022;29.04.2022 18:38;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 500    Rabatten er gyldig for et gitt antall dager     Gyldig for angitt antall dager NOK 2 500;NOK 0;No;5502345;Dropin  - Sukkerbiten;01.05.2022;10:00-11:30;29.04.2022;29.04.2022 19:00;1
<br/>;;NOK 100;yes;6551356;Dropin  - Bademaschin/Snipa;01.05.2022;10:00-11:30;22.04.2022;22.04.2022 09:14;1
<br/>;;NOK 175;No;6812462;Dropin  - Bademaschin/Snipa;01.05.2022;10:00-11:30;22.04.2022;22.04.2022 09:14;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;5501691;Dropin  - Bademaschin/Snipa;01.05.2022;10:00-11:30;25.04.2022;25.04.2022 19:58;1
<br/>;;NOK 200;yes;6435621;Dropin  - Bademaschin/Snipa;01.05.2022;10:00-11:30;26.04.2022;26.04.2022 13:40;2
<br/>;;NOK 525;No;6826776;Dropin  - Bademaschin/Snipa;01.05.2022;10:00-11:30;26.04.2022;26.04.2022 14:33;3
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6182908;Dropin  - Bademaschin/Snipa;01.05.2022;10:00-11:30;27.04.2022;27.04.2022 14:44;1
<br/>;;NOK 175;No;6670296;Dropin  - Bademaschin/Snipa;01.05.2022;10:00-11:30;27.04.2022;27.04.2022 15:13;1
<br/>;;NOK 100;yes;6799936;Dropin  - Bademaschin/Snipa;01.05.2022;10:00-11:30;30.04.2022;30.04.2022 22:24;1
<br/>;;NOK 525;No;6814958;Dropin  - Bademaschin/Snipa;01.05.2022;10:00-11:30;30.04.2022;30.04.2022 22:58;3
<br/>;;NOK 350;No;6841216;Dropin  - Bademaschin/Snipa;01.05.2022;10:00-11:30;30.04.2022;30.04.2022 23:01;2
<br/>;Rabatten er gyldig for et gitt antall dager NOK 200;NOK 200;yes;6729305;Dropin  - Bademaschin/Snipa;01.05.2022;10:00-11:30;30.04.2022;30.04.2022 23:08;2
<br/>;Gyldig for angitt antall dager NOK 400;NOK 100;yes;6720778;Dropin  - Bademaschin/Snipa;01.05.2022;10:00-11:30;01.05.2022;01.05.2022 00:15;1
<br/>;;NOK 175;No;6796002;Dropin  - Bademaschin/Snipa;01.05.2022;10:00-11:30;01.05.2022;01.05.2022 07:28;1
<br/>;;NOK 200;yes;6513399;Dropin - Kroloftet (Svartdalen);01.05.2022;10:00-11:30;24.04.2022;24.04.2022 17:08;2
<br/>;;NOK 400;yes;6820804;Dropin - Kroloftet (Svartdalen);01.05.2022;10:00-11:30;28.04.2022;28.04.2022 08:50;4
<br/>;;NOK 350;No;6832340;Dropin - Kroloftet (Svartdalen);01.05.2022;10:00-11:30;28.04.2022;28.04.2022 08:55;2
<br/>;;NOK 100;yes;6832384;Dropin - Kroloftet (Svartdalen);01.05.2022;10:00-11:30;28.04.2022;28.04.2022 09:39;1
<br/>;;NOK 2 000;No;6806709;Alken;01.05.2022;10:15-12:15;20.04.2022;20.04.2022 13:26;1
<br/>;;NOK 2 300;No;5746950;Snipa;01.05.2022;10:30-12:30;17.04.2022;17.04.2022 12:52;1
<br/>;;NOK 2 000;yes;6154696;Skarven;01.05.2022;11:00-13:00;31.03.2022;31.03.2022 12:26;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6746591;Dropin  - Bademaschin/Snipa;01.05.2022;11:30-13:00;18.04.2022;18.04.2022 09:47;1
<br/>;Gyldig for angitt antall dager NOK 2 800    Rabatten er gyldig for et gitt antall dager     Gyldig for angitt antall dager NOK 400;NOK 0;yes;5775603;Dropin  - Bademaschin/Snipa;01.05.2022;11:30-13:00;22.04.2022;22.04.2022 12:50;1
<br/>;Gyldig for angitt antall dager NOK 2 800    Rabatten er gyldig for et gitt antall dager     Gyldig for angitt antall dager NOK 400;NOK 0;yes;5707825;Dropin  - Bademaschin/Snipa;01.05.2022;11:30-13:00;22.04.2022;22.04.2022 12:52;1
<br/>;;NOK 200;yes;6565820;Dropin  - Bademaschin/Snipa;01.05.2022;11:30-13:00;24.04.2022;24.04.2022 18:26;2
<br/>;;NOK 100;yes;6820804;Dropin  - Bademaschin/Snipa;01.05.2022;11:30-13:00;24.04.2022;24.04.2022 19:38;1
<br/>;;NOK 425;No;5122547;Dropin  - Bademaschin/Snipa;01.05.2022;11:30-13:00;26.04.2022;26.04.2022 09:41;3
<br/>;;NOK 100;yes;5376141;Dropin  - Bademaschin/Snipa;01.05.2022;11:30-13:00;01.05.2022;01.05.2022 08:44;1
<br/>;;NOK 600;No;6800843;Dropin - Kroloftet (Svartdalen);01.05.2022;11:30-13:00;18.04.2022;18.04.2022 17:58;4
Gavekort<br/>;;NOK 0;No;6563250;Dropin - Kroloftet (Svartdalen);01.05.2022;11:30-13:00;22.04.2022;22.04.2022 12:43;2
<br/>;;NOK 350;No;6833148;Dropin - Kroloftet (Svartdalen);01.05.2022;11:30-13:00;28.04.2022;28.04.2022 14:30;2
<br/>;;NOK 1 500;No;6537281;Måken;01.05.2022;12:00-14:00;03.04.2022;03.04.2022 20:48;1
<br/>;;NOK 2 800;No;6498834;Bademaschin 2;01.05.2022;12:00-14:00;09.01.2022;09.01.2022 17:06;1
<br/>;;NOK 1 700;yes;6505639;Alken;01.05.2022;12:15-14:15;04.04.2022;04.04.2022 13:43;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 1 000    Gyldig for angitt antall dager NOK 400;NOK 0;yes;5877772;Dropin  - Sukkerbiten;01.05.2022;13:00-14:30;12.04.2022;12.04.2022 09:26;1
<br/>;Gyldig for angitt antall dager NOK 400    Gyldig for angitt antall dager NOK 400;NOK 0;yes;6200133;Dropin  - Sukkerbiten;01.05.2022;13:00-14:30;12.04.2022;12.04.2022 09:30;1
<br/>;;NOK 350;yes;6793683;Dropin  - Sukkerbiten;01.05.2022;13:00-14:30;15.04.2022;15.04.2022 23:17;2
<br/>;Gyldig for angitt antall dager NOK 400;NOK 100;yes;6676365;Dropin  - Sukkerbiten;01.05.2022;13:00-14:30;16.04.2022;16.04.2022 16:16;1
<br/>;Gyldig for angitt antall dager NOK 400;NOK 100;yes;6797583;Dropin  - Sukkerbiten;01.05.2022;13:00-14:30;17.04.2022;17.04.2022 11:53;1
<br/>;;NOK 200;yes;6379286;Dropin  - Sukkerbiten;01.05.2022;13:00-14:30;17.04.2022;17.04.2022 17:06;2
<br/>;;NOK 175;No;6798843;Dropin  - Sukkerbiten;01.05.2022;13:00-14:30;17.04.2022;17.04.2022 22:05;1
<br/>;;NOK 350;No;6751537;Dropin  - Sukkerbiten;01.05.2022;13:00-14:30;18.04.2022;18.04.2022 12:32;2
<br/>;;NOK 350;No;6810103;Dropin  - Sukkerbiten;01.05.2022;13:00-14:30;21.04.2022;21.04.2022 14:20;2
<br/>;Gyldig for angitt antall dager NOK 2 500;NOK 0;No;5718496;Dropin  - Sukkerbiten;01.05.2022;13:00-14:30;23.04.2022;23.04.2022 10:51;1
<br/>;;NOK 600;No;6817476;Dropin  - Sukkerbiten;01.05.2022;13:00-14:30;23.04.2022;23.04.2022 17:36;4
<br/>;Gyldig for angitt antall dager NOK 1 000;NOK 100;yes;5501520;Dropin  - Sukkerbiten;01.05.2022;13:00-14:30;24.04.2022;24.04.2022 12:43;1
<br/>;;NOK 200;yes;6532134;Dropin  - Bademaschin/Snipa;01.05.2022;13:00-14:30;24.04.2022;24.04.2022 16:37;2
<br/>;;NOK 100;yes;6175322;Dropin  - Bademaschin/Snipa;01.05.2022;13:00-14:30;24.04.2022;24.04.2022 16:37;1
<br/>;;NOK 200;yes;6624947;Dropin  - Bademaschin/Snipa;01.05.2022;13:00-14:30;25.04.2022;25.04.2022 18:55;2
Gavekort<br/>;Antall ganger NOK 600;NOK 0;yes;6203777;Dropin  - Bademaschin/Snipa;01.05.2022;13:00-14:30;25.04.2022;25.04.2022 19:26;4
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400;NOK 0;yes;6603354;Dropin  - Bademaschin/Snipa;01.05.2022;13:00-14:30;01.05.2022;01.05.2022 11:19;1
<br/>;;NOK 175;yes;6027142;Dropin - Kroloftet (Svartdalen);01.05.2022;13:00-14:30;01.05.2022;01.05.2022 08:14;2
<br/>;;NOK 425;No;6842041;Dropin - Kroloftet (Svartdalen);01.05.2022;13:00-14:30;01.05.2022;01.05.2022 09:58;3
<br/>;;NOK 175;yes;6027142;Dropin - Kroloftet (Svartdalen);01.05.2022;13:00-14:30;01.05.2022;01.05.2022 10:18;2
<br/>;Rabatten er gyldig for et gitt antall dager NOK 200;NOK 200;yes;6839539;Dropin - Kroloftet (Svartdalen);01.05.2022;13:00-14:30;01.05.2022;01.05.2022 10:18;2
<br/>;;NOK 2 300;No;6579095;Skarven;01.05.2022;13:00-15:00;06.03.2022;06.03.2022 18:26;1
<br/>;;NOK 1 200;yes;6694656;Måken;01.05.2022;14:00-16:00;21.03.2022;21.03.2022 16:35;1
<br/>;;NOK 0;No;6371702;Bademaschin 2;01.05.2022;14:00-16:00;10.03.2022;10.03.2022 18:50;1
<br/>;;NOK 2 000;No;6825272;Alken;01.05.2022;14:15-16:15;26.04.2022;26.04.2022 00:56;1
<br/>;;NOK 1 700;yes;6601455;Ærfuglen;01.05.2022;14:15-16:15;09.04.2022;09.04.2022 10:27;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 2 800    Rabatten er gyldig for et gitt antall dager     Gyldig for angitt antall dager NOK 400;NOK 0;yes;5717204;Dropin  - Sukkerbiten;01.05.2022;14:30-16:00;13.04.2022;13.04.2022 10:51;1
<br/>;;NOK 400;yes;6400573;Dropin  - Sukkerbiten;01.05.2022;14:30-16:00;17.04.2022;17.04.2022 15:28;4
<br/>;Antall ganger NOK 300    Antall ganger NOK 300;NOK 400;yes;5820218;Dropin  - Sukkerbiten;01.05.2022;14:30-16:00;17.04.2022;17.04.2022 16:16;4
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400    Gyldig for angitt antall dager NOK 400;NOK 0;yes;5861809;Dropin  - Sukkerbiten;01.05.2022;14:30-16:00;18.04.2022;18.04.2022 11:34;1
Årskort/månedskort   <br/>;Gyldig for angitt antall dager NOK 400    Gyldig for angitt antall dager NOK 400;NOK 0;yes;5861824;Dropin  - Sukkerbiten;01.05.2022;14:30-16:00;18.04.2022;18.04.2022 11:34;1
